Scope,Provider,Category / Type,What they offer,Key features,Entry pricing (mark unverified),Target customer,Open source,AI / agent offering,Notes
Global,Orgo,Agent-sandbox,Cloud VMs that AI agents control (computer-use),"VMs up to ~16c/64GB; screenshot/click/keyboard API; model-agnostic; Python + TS SDK; sub-500ms boot",Unverified (Free to Enterprise tiers),"Enterprises, GUI/computer-use agents",No,Yes (core product),Bare VMs with full OS control
Global,Daytona,Agent-sandbox,Open-source elastic infra for AI code execution,"Sandboxes with kernel/fs/network isolation; ~90ms start; Py/TS; self-host or managed",~$200 free credit then ~$0.0504/vCPU-hr (unverified),"Agents, startups, enterprises",Yes (Apache-2.0),Yes,Strong open-source option to self-host
Global,E2B,Agent-sandbox,Open-source Firecracker microVM sandbox for AI code,"Firecracker microVMs; ~78ms start; JS/Python SDK; per-second billing",Free $100 credit; Pro ~$150/mo + usage (unverified),"Developers, agents, enterprises",Yes (Apache-2.0),Yes,Reference design for agent isolation
Global,Modal,Serverless / sandbox,Serverless containers with GPU access,"Containers; A10G/A100/H100 GPUs; autoscale; Python-first",Free ~$30/mo credit; Team ~$250/mo; per-second (unverified),AI/ML teams,No,Partial,Good for GPU/inference workloads
Global,Cloudflare (Workers + Containers + Durable Objects + Sandboxes),Edge / agent platform,Edge serverless + containers + stateful objects + sandboxes,"Global edge network; Workers AI; Sandbox SDK; DNS/CDN/DDoS/SSL",Workers free tier then usage (unverified),"Edge apps, agents, multi-tenant SaaS",Partial,Yes,The 'be like Cloudflare' benchmark; also our DNS/CDN partner
Global,Replit,Agent + IDE + PaaS,AI agent + cloud IDE + deployments,"Agent deploys; browser IDE; VMs; custom domains",Free; Core ~$17/mo; Pro ~$95/mo (unverified),"Solo devs, students, small teams",Partial,Yes,Beginner-friendly build+deploy
Global,Gitpod,Dev-environment cloud,Cloud dev environments from Git repos,"Linux containers; browser/VS Code; prebuilds; Git integration",50h/mo free; ~$9/mo+ (unverified),"Teams, open-source projects",Partial,No,Dev environments not hosting
Global,Northflank,Sandbox + PaaS,Secure microVM sandboxes + app deployment,"microVMs; BYOC; H100; per-second billing",Free dev tier; ~$20/mo+ (unverified),"Teams, cost-conscious",Partial,Yes,Among cheapest published vCPU rates
Global,Freestyle,Agent-sandbox,Persistent VMs for AI agents (25ms resume),"No cold starts; persistent standby",Free; Hobby ~$50/mo; Pro ~$500/mo (unverified),Coding agents,No,Yes,Persistence focus
Global,Blaxel,Agent-sandbox,Persistent sandboxes + MCP + observability,"25ms resume; MCP server; SOC2/HIPAA/ISO27001",Free ~$200 credit; pay-as-you-go (unverified),"Agents, regulated workloads",No,Yes,Compliance-oriented
Global,Coolify,PaaS (self-hosted),Open-source Heroku/Vercel/Netlify alternative,"Docker-based; 280+ one-click apps; auto SSL; custom domains",Self-host free; Cloud ~$5/mo (unverified),"Self-hosters, cost-sensitive orgs",Yes (Apache-2.0),No,OUR hosting backbone
Global,Render,PaaS,Managed app platform,"Autoscaling; managed DBs; custom domains; IaC",Free tier; ~$7/mo+ (unverified),"Indie devs, small teams",No,No,
Global,Railway,PaaS,Usage-based deployment platform,"GitHub integration; managed DBs; volumes",~$5/mo usage; Pro ~$20/mo (unverified),"Developers, startups",No,No,
Global,Fly.io,PaaS / IaaS,Anycast container deployment (global),"Machines; volumes; multi-region; managed DBs",Pay-as-you-go ~$0.0027/hr+ (unverified),"Global / latency-sensitive SaaS",Partial,No,
Global,Vercel,PaaS / serverless,Edge serverless + static + frontend hosting,"Edge functions; global CDN; Next.js optimized",Free Hobby; Pro ~$20/user/mo (unverified),Frontend-first teams,No,No,Where StudExClaw front-end deploys today
Global,DigitalOcean,IaaS-VPS + PaaS,Droplets (VMs) + App Platform,"VMs from $4/mo; managed DBs; object storage",~$4/mo+ (unverified),"SMBs, developers",No,No,A rent-compute option
Global,Hetzner,IaaS / bare metal,Low-cost EU cloud VMs + dedicated servers,"All-in pricing; ~20TB egress included; bare metal",~EUR4/mo+; bare metal ~EUR39/mo (unverified),"Cost-conscious devs, self-hosters",No,No,Best price/performance to rent compute
Global,AWS (Lightsail / EC2),Hyperscaler,Simplified + full cloud compute,"VMs; containers; full AWS portfolio",Lightsail ~$3.50/mo; EC2 per-hour (unverified),"Enterprises, scale-ups",No,No,Baseline; af-south-1 covered below
Africa,Cassava Technologies / Liquid C2,Pan-African cloud + data centre,Largest Tier III/IV DC network in Africa,"9 sites across 6 countries; NVIDIA AI factory; Anthropic/Google partnerships",Enterprise (unverified),Enterprises / carriers,No,Emerging (AI infrastructure),Largest African AI-infra push
Africa,Africa Data Centres,Pan-African colocation,Carrier- and cloud-neutral DC network,"Hyperscale-ready; SA/Kenya/Nigeria/Ghana+",Enterprise (unverified),Enterprises / hyperscalers,No,No,Colo backbone
Africa,Raxio Group,Pan-African colocation,Carrier-neutral Tier III DCs,"7 countries; multi-cloud + IXP connected",Enterprise (unverified),Enterprises,No,No,
Africa,Rack Centre (Nigeria),Tier III colocation,Carrier-neutral Lagos facility,"AI-ready; 40+ carriers connected",Enterprise (unverified),Enterprises (West Africa),No,No,
Africa,Paratus Group,Pan-African ISP + DC,Connectivity + Tier III DCs + cloud IaaS,"35-country presence; 99.98% uptime",Enterprise (unverified),Enterprises / carriers,No,No,
Africa,MTN Nigeria,Telecom + data centre,West Africa's largest Tier III DC,"9MW; naira billing; AI expansion planned",Naira (unverified),Enterprises (West Africa),No,No,Local-currency billing model
Africa,Cloudflare (African PoPs),CDN / edge,Edge network across Africa,"40+ PoPs; 3 in SA (JHB/CPT/DBN)",Free tier+ (unverified),All,Partial,Yes (Workers),Use as DNS/CDN/DDoS partner
South Africa,Afrihost,Shared host / VPS,Long-standing local provider,"VPS available; strong local support; SA DCs",~R84/mo shared (unverified),SMBs / individuals,No,None,Won MyBroadband Best Host 2025
South Africa,Xneelo,Shared / VPS / cloud,Established developer-favoured host,"VPS; SA + Germany DCs",Unverified,"Agencies, developers",No,None,
South Africa,RSAWEB,ISP / host / cloud,Broadband + scalable cloud,"Cloud IaaS scale up/down",Unverified,SMBs / enterprise,No,None,
South Africa,HostAfrica,Shared host / VPS,SMB-focused host,"VPS available",Unverified,SMBs,No,None,
South Africa,Cloud Africa,Cloud IaaS,Locally-hosted cloud infra,"Full cloud; GPU instances; ZAR billing",ZAR (unverified),Developers / MSPs,No,None,Closest local IaaS comparable; ZAR billing
South Africa,1-grid,Shared / VPS / cloud,Ex-WebAfrica managed hosting,"VPS + dedicated; 99.99% SLA; SA DCs",Unverified,SMBs,No,None,
South Africa,Cybersmart,Domains / host / cloud,Domains + shared + cloud servers,"Cloud hosting; cPanel; subsea cable connectivity",~R79 to R349/mo (unverified),SMBs / individuals,No,None,Est. 1998
South Africa,Domains.co.za,Domains / shared host,Domain registration + web hosting,"Shared hosting; domains",Unverified,Individuals / SMBs,No,None,Domain-focused
South Africa,Routed,Host / connectivity,Web hosting + routed infrastructure,"Reliable routing",Unverified,SMBs,No,None,
South Africa,Teraco,Data centre / colocation,Vendor-neutral Tier III/IV colo,"650+ orgs; JHB/CPT/DBN; interconnection",Enterprise colo (unverified),Enterprises / carriers,No,None,Where we'd colo a node when we own hardware
South Africa,Vox,ISP / cloud,Cloud via Teraco facilities,"Uses Teraco DCs",Unverified,SMBs / enterprise,No,None,
South Africa,AWS af-south-1 (Cape Town),Hyperscaler region,Full AWS in South Africa,"EC2 VMs; containers; S3; ZAR-converted billing",~R2.5k to R15k+/mo small-large (unverified),Enterprises,No,None (bring-your-own agents),USD converted to ZAR
South Africa,Microsoft Azure SA North/West,Hyperscaler region,Full Azure in South Africa,"VMs; AKS; POPIA-certified",Enterprise (unverified),Enterprises,No,None,POPIA-compliant
South Africa,Huawei Cloud SA,Hyperscaler region,Public cloud in Johannesburg,"ECS VMs; containers; #3 IaaS in SA",Unverified,Enterprises,No,None,
South Africa,Oracle Cloud Johannesburg,Hyperscaler region,Cloud IaaS in South Africa,"Compute VMs; database; analytics",Unverified,Enterprises,No,None,
Positioning,StudExClaw Cloud (US),Agentic cloud (SA-local),Linux VMs + containers that ship with AI agents inside + app/site/domain hosting,"Docker; OpenClaw/Hermes pre-installed; custom domains + auto SSL; multi-VM command center; Kanban agent activity; ZAR billing; POPIA data residency",Spark R149/mo; Builder R499/mo; Scale R1499/mo; White-label custom,"SA/African indie devs, startups, agencies, regulated SMBs",App is custom; uses OSS runtimes,Yes (bundled),THE GAP: SA hosts give ZAR + low latency but NO agents; global agent-clouds give agents but bill USD with no SA data residency. We sit in the middle.
